year,city,avg_temp
1963,Kano,26.61
1964,Kano,26.05
1965,Kano,26.00
1966,Kano,26.00
1967,Kano,25.94
1968,Kano,26.20
1969,Kano,26.78
1970,Kano,26.21
1971,Kano,26.16
1972,Kano,26.53
1973,Kano,27.05
1974,Kano,25.97
1975,Kano,25.89
1976,Kano,26.31
1977,Kano,26.04
1978,Kano,26.13
1979,Kano,26.44
1980,Kano,26.37
1981,Kano,26.15
1982,Kano,26.37
1983,Kano,26.30
1984,Kano,26.53
1985,Kano,26.38
1986,Kano,26.60
1987,Kano,27.01
1988,Kano,26.33
1989,Kano,25.63
1990,Kano,26.85
1991,Kano,26.43
1992,Kano,25.96
1993,Kano,26.51
1994,Kano,26.13
1995,Kano,26.56
1996,Kano,26.64
1997,Kano,26.66
1998,Kano,26.93
1999,Kano,26.85
2000,Kano,26.38
2001,Kano,26.47
2002,Kano,26.96
2003,Kano,26.83
2004,Kano,26.99
2005,Kano,27.27
2006,Kano,27.26
2007,Kano,27.25
2008,Kano,26.71
2009,Kano,27.48
2010,Kano,27.64
2011,Kano,27.20
2012,Kano,26.87
2013,Kano,27.76
1873,Lagos,26.46
1874,Lagos,26.08
1875,Lagos,25.82
1876,Lagos,25.82
1877,Lagos,26.35
1878,Lagos,26.26
1879,Lagos,25.67
1880,Lagos,26.14
1881,Lagos,26.39
1882,Lagos,26.01
1883,Lagos,26.42
1884,Lagos,26.43
1885,Lagos,26.01
1886,Lagos,25.87
1887,Lagos,25.09
1888,Lagos,25.42
1889,Lagos,25.34
1890,Lagos,24.86
1891,Lagos,25.29
1892,Lagos,25.49
1893,Lagos,25.67
1894,Lagos,25.59
1895,Lagos,25.92
1896,Lagos,25.87
1897,Lagos,26.29
1898,Lagos,25.79
1899,Lagos,26.31
1900,Lagos,26.42
1901,Lagos,26.53
1902,Lagos,26.09
1903,Lagos,25.68
1904,Lagos,25.48
1905,Lagos,26.16
1906,Lagos,26.21
1907,Lagos,25.96
1908,Lagos,26.15
1909,Lagos,26.08
1910,Lagos,26.13
1911,Lagos,25.72
1912,Lagos,26.17
1913,Lagos,26.65
1914,Lagos,26.75
1915,Lagos,26.81
1916,Lagos,26.60
1917,Lagos,26.96
1918,Lagos,26.41
1919,Lagos,26.70
1920,Lagos,26.72
1921,Lagos,26.77
1922,Lagos,26.73
1923,Lagos,26.63
1924,Lagos,26.95
1925,Lagos,26.64
1926,Lagos,26.97
1927,Lagos,26.88
1928,Lagos,26.75
1929,Lagos,26.48
1930,Lagos,26.84
1931,Lagos,26.85
1932,Lagos,26.46
1933,Lagos,26.93
1934,Lagos,26.89
1935,Lagos,26.90
1936,Lagos,26.66
1937,Lagos,26.96
1938,Lagos,26.82
1939,Lagos,26.39
1940,Lagos,26.81
1941,Lagos,27.36
1942,Lagos,26.95
1943,Lagos,26.53
1944,Lagos,27.07
1945,Lagos,27.07
1946,Lagos,26.72
1947,Lagos,26.98
1948,Lagos,26.61
1949,Lagos,26.98
1950,Lagos,26.57
1951,Lagos,26.89
1952,Lagos,26.66
1953,Lagos,26.66
1954,Lagos,26.28
1955,Lagos,26.42
1956,Lagos,26.31
1957,Lagos,26.65
1958,Lagos,26.68
1959,Lagos,26.72
1960,Lagos,26.68
1961,Lagos,26.46
1962,Lagos,26.55
1963,Lagos,27.01
1964,Lagos,26.48
1965,Lagos,26.53
1966,Lagos,26.84
1967,Lagos,26.43
1968,Lagos,26.67
1969,Lagos,26.89
1970,Lagos,26.92
1971,Lagos,26.56
1972,Lagos,26.91
1973,Lagos,27.20
1974,Lagos,26.44
1975,Lagos,26.27
1976,Lagos,26.37
1977,Lagos,27.01
1978,Lagos,26.73
1979,Lagos,26.99
1980,Lagos,26.85
1981,Lagos,26.79
1982,Lagos,26.66
1983,Lagos,26.99
1984,Lagos,26.98
1985,Lagos,26.74
1986,Lagos,26.65
1987,Lagos,27.51
1988,Lagos,27.04
1989,Lagos,26.71
1990,Lagos,27.06
1991,Lagos,26.88
1992,Lagos,26.73
1993,Lagos,26.90
1994,Lagos,26.84
1995,Lagos,27.07
1996,Lagos,26.92
1997,Lagos,26.91
1998,Lagos,27.53
1999,Lagos,27.03
2000,Lagos,27.02
2001,Lagos,26.92
2002,Lagos,27.13
2003,Lagos,27.37
2004,Lagos,27.32
2005,Lagos,27.39
2006,Lagos,27.53
2007,Lagos,27.46
2008,Lagos,27.30
2009,Lagos,27.53
2010,Lagos,27.79
2011,Lagos,27.35
2012,Lagos,27.15
2013,Lagos,27.36
